CID,n,M,C,O,N,Cl,S,H,C1O,C2O,C1C,C2C,C1N,C3N,C1Cl,C1S,#degree1,#degree2,#degree3,#degree4,#degree5,#degree6,#double_bond,#triple_bond,Diameter,bc_121,bc_122,bc_123,bc_131,bc_132,bc_141,bc_221,bc_222,bc_223,bc_231,bc_232,bc_241,bc_331,bc_332,bc_341,bc_441,2-branch_height,2-branch_number
196,10,136,6,4,0,0,0,10,2,2,5,0,0,0,0,0,4,4,2,0,0,0,2,0,0.7,0,0,0,2,2,0,3,0,0,2,0,0,0,0,0,0,1,2
261,5,128,4,1,0,0,0,8,0,1,3,0,0,0,0,0,2,3,0,0,0,0,1,0,0.8,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
263,5,128,4,1,0,0,0,10,1,0,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0.8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
311,13,141.538,6,7,0,0,0,8,4,3,5,0,0,0,0,0,7,2,3,1,0,0,3,0,0.461538,0,0,0,3,3,1,0,0,0,2,0,2,0,0,1,0,1,2
379,10,128,8,2,0,0,0,16,1,1,7,0,0,0,0,0,3,6,1,0,0,0,1,0,0.8,1,0,0,1,1,0,5,0,0,1,0,0,0,0,0,0,1,2
453,12,140,6,6,0,0,0,14,6,0,5,0,0,0,0,0,6,2,4,0,0,0,0,0,0.583333,2,0,0,4,0,0,0,0,0,2,0,0,3,0,0,0,1,2
985,18,124.444,16,2,0,0,0,32,1,1,15,0,0,0,0,0,3,14,1,0,0,0,1,0,0.888889,1,0,0,1,1,0,13,0,0,1,0,0,0,0,0,0,1,2
1110,8,140,4,4,0,0,0,6,2,2,3,0,0,0,0,0,4,2,2,0,0,0,2,0,0.625,0,0,0,2,2,0,1,0,0,2,0,0,0,0,0,0,1,1
2682,17,122.353,16,1,0,0,0,34,1,0,15,0,0,0,0,0,2,15,0,0,0,0,0,0,0.941176,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,2
2969,12,126.667,10,2,0,0,0,20,1,1,9,0,0,0,0,0,3,8,1,0,0,0,1,0,0.833333,1,0,0,1,1,0,7,0,0,1,0,0,0,0,0,0,1,2
3283,5,128,4,1,0,0,0,10,2,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0.8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3485,7,131.429,5,2,0,0,0,8,0,2,4,0,0,0,0,0,2,5,0,0,0,0,2,0,0.857143,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2
3893,14,125.714,12,2,0,0,0,24,1,1,11,0,0,0,0,0,3,10,1,0,0,0,1,0,0.857143,1,0,0,1,1,0,9,0,0,1,0,0,0,0,0,0,1,2
3931,20,124,18,2,0,0,0,32,1,1,15,2,0,0,0,0,3,16,1,0,0,0,3,0,0.9,1,0,0,1,1,0,13,2,0,1,0,0,0,0,0,0,1,2
5251,8,130,6,2,0,0,0,8,1,1,3,2,0,0,0,0,3,4,1,0,0,0,3,0,0.75,1,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,1,2
5281,20,124,18,2,0,0,0,36,1,1,17,0,0,0,0,0,3,16,1,0,0,0,1,0,0.9,1,0,0,1,1,0,15,0,0,1,0,0,0,0,0,0,1,2
5780,12,140,6,6,0,0,0,14,6,0,5,0,0,0,0,0,6,2,4,0,0,0,0,0,0.583333,2,0,0,4,0,0,0,0,0,2,0,0,3,0,0,0,1,2
6276,6,126.667,5,1,0,0,0,12,1,0,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0.833333,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1
6360,4,120,4,0,0,0,0,10,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6385,5,124,4,0,1,0,0,11,0,0,3,0,1,0,0,0,4,0,0,1,0,0,0,0,0.4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
6403,6,120,6,0,0,0,0,14,0,0,5,0,0,0,0,0,4,1,0,1,0,0,0,0,0.5,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,1
6405,6,126.667,5,1,0,0,0,12,1,0,4,0,0,0,0,0,4,1,0,1,0,0,0,0,0.5,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,1
6416,7,125.714,6,1,0,0,0,12,0,1,5,0,0,0,0,0,5,0,1,1,0,0,1,0,0.428571,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,1,1
6557,5,120,5,0,0,0,0,8,0,0,2,2,0,0,0,0,3,1,1,0,0,0,2,0,0.6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
6558,5,124,4,0,1,0,0,11,0,0,3,0,1,0,0,0,3,1,1,0,0,0,0,0,0.6,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1
6559,5,124,4,0,1,0,0,7,0,0,3,0,0,1,0,0,3,1,1,0,0,0,0,1,0.6,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1
6562,5,128,4,1,0,0,0,6,0,1,2,1,0,0,0,0,3,1,1,0,0,0,2,0,0.6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
6568,5,128,4,1,0,0,0,10,1,0,3,0,0,0,0,0,3,1,1,0,0,0,0,0,0.6,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1
6569,5,128,4,1,0,0,0,8,0,1,3,0,0,0,0,0,3,1,1,0,0,0,1,0,0.6,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
6589,6,120,6,0,0,0,0,14,0,0,5,0,0,0,0,0,4,0,2,0,0,0,0,0,0.5,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1
7282,6,120,6,0,0,0,0,14,0,0,5,0,0,0,0,0,3,2,1,0,0,0,0,0,0.666667,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
7288,6,126.667,5,1,0,0,0,10,0,1,4,0,0,0,0,0,3,2,1,0,0,0,1,0,0.666667,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
7294,6,133.333,4,2,0,0,0,6,2,1,1,1,0,0,0,0,3,2,1,0,0,0,2,0,0.666667,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
7343,8,130,6,2,0,0,0,10,2,1,3,1,0,0,0,0,4,2,2,0,0,0,2,0,0.625,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,1,1
7344,8,135,5,3,0,0,0,10,3,1,3,0,0,0,0,0,4,2,2,0,0,0,1,0,0.625,1,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,1,1
