CID,n,M,C,O,N,S,Cl,H,C1O,C2O,C1C,C1N,C2C,S1S,C1S,C2S,C2N,C3N,O1O,C1Cl,#degree1,#degree2,#degree3,#degree4,#degree5,#degree6,#double_bond,#triple_bond,Diameter,bc_121,bc_122,bc_123,bc_131,bc_132,bc_141,bc_221,bc_222,bc_223,bc_231,bc_232,bc_241,bc_331,bc_332,bc_341,bc_441,2-branch_height,2-branch_number
179,6,133.333,4,2,0,0,0,8,1,1,3,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0.5,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,1
196,10,136,6,4,0,0,0,10,2,2,5,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,2,0,0.7,0,0,0,2,2,0,3,0,0,2,0,0,0,0,0,0,1,2
263,5,128,4,1,0,0,0,10,1,0,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0.8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
264,6,133.333,4,2,0,0,0,8,1,1,3,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0.666667,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
311,13,141.538,6,7,0,0,0,8,4,3,5,0,0,0,0,0,0,0,0,0,7,2,3,1,0,0,3,0,0.461538,0,0,0,3,3,1,0,0,0,2,0,2,0,0,1,0,1,2
356,8,120,8,0,0,0,0,18,0,0,7,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0.875,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2
379,10,128,8,2,0,0,0,16,1,1,7,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,1,0,0.8,1,0,0,1,1,0,5,0,0,1,0,0,0,0,0,0,1,2
424,9,140,4,4,1,0,0,7,2,2,3,1,0,0,0,0,0,0,0,0,5,1,3,0,0,0,2,0,0.555556,0,0,0,3,2,0,0,0,0,2,0,0,1,0,0,0,1,1
453,12,140,6,6,0,0,0,14,6,0,5,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0,0,0,0.583333,2,0,0,4,0,0,0,0,0,2,0,0,3,0,0,0,1,2
525,9,142.222,4,5,0,0,0,6,3,2,3,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,2,0,0.555556,0,0,0,3,2,0,0,0,0,2,0,0,1,0,0,0,1,1
604,13,141.538,6,7,0,0,0,12,6,1,5,0,0,0,0,0,0,0,0,0,7,1,5,0,0,0,1,0,0.538462,1,0,0,5,1,0,0,0,0,1,0,0,4,0,0,0,1,2
611,10,138,5,4,1,0,0,9,2,2,4,1,0,0,0,0,0,0,0,0,5,2,3,0,0,0,2,0,0.6,0,0,0,3,2,0,1,0,0,2,0,0,1,0,0,0,1,2
650,6,133.333,4,2,0,0,0,6,0,2,3,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0.5,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,1
957,9,124.444,8,1,0,0,0,18,1,0,7,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0.888889,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,2
965,20,124,18,2,0,0,0,34,1,1,16,0,1,0,0,0,0,0,0,0,3,16,1,0,0,0,2,0,0.9,1,0,0,1,1,0,14,1,0,1,0,0,0,0,0,0,1,2
1101,12,140,6,6,0,0,0,12,5,1,5,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0,1,0,0.583333,2,0,0,3,1,0,0,0,0,2,0,0,3,0,0,0,1,2
1110,8,140,4,4,0,0,0,6,2,2,3,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,2,0,0.625,0,0,0,2,2,0,1,0,0,2,0,0,0,0,0,0,1,1
3283,5,128,4,1,0,0,0,10,2,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0.8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3485,7,131.429,5,2,0,0,0,8,0,2,4,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,0,0.857143,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2
5251,8,130,6,2,0,0,0,8,1,1,3,0,2,0,0,0,0,0,0,0,3,4,1,0,0,0,3,0,0.75,1,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,1,2
5455,12,190,6,0,2,4,0,12,0,0,0,6,0,1,2,2,0,0,0,0,6,2,4,0,0,0,2,0,0.583333,0,0,0,4,2,0,1,0,0,2,0,0,2,0,0,0,1,2
5541,15,136,9,6,0,0,0,14,6,3,5,0,0,0,0,0,0,0,0,0,6,5,4,0,0,0,3,0,0.533333,0,0,0,3,3,0,2,0,0,6,0,0,0,0,0,0,1,3
5565,10,128,6,0,4,0,0,18,0,0,3,6,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0.9,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,2
5780,12,140,6,6,0,0,0,14,6,0,5,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0,0,0,0.583333,2,0,0,4,0,0,0,0,0,2,0,0,3,0,0,0,1,2
5960,9,140,4,4,1,0,0,7,2,2,3,1,0,0,0,0,0,0,0,0,5,1,3,0,0,0,2,0,0.555556,0,0,0,3,2,0,0,0,0,2,0,0,1,0,0,0,1,1
